GameID,Week,Date,Home,HScore,VScore,Visitor
1,1,"3/6/2016","NY Red Bulls",0,2,"Toronto FC"
2,1,"3/6/2016","Orlando",2,2,"Real Salt Lake"
3,1,"3/6/2016","Houston",3,3,"New England"
4,1,"3/6/2016","Portland",2,1,"Columbus"
5,1,"3/6/2016","Seattle",0,1,"Sporting KC"
6,1,"3/6/2016","Chicago",3,4,"NYCFC"
7,1,"3/6/2016","FC Dallas",2,0,"Philadelphia"
8,1,"3/6/2016","San Jose",1,0,"Colorado"
9,1,"3/6/2016","Vancouver",2,3,"Montreal"
10,1,"3/6/2016","LA Galaxy",4,1,"DC United"
11,2,"3/11/2016","Orlando",1,1,"Chicago"
12,2,"3/12/2016","New England",0,0,"DC United"
13,2,"3/12/2016","Real Salt Lake",2,1,"Seattle"
14,2,"3/12/2016","Columbus",1,2,"Philadelphia"
15,2,"3/12/2016","Sporting KC",2,1,"Vancouver"
16,2,"3/12/2016","Montreal",3,0,"NY Red Bulls"
17,2,"3/12/2016","Colorado",1,0,"LA Galaxy"
18,2,"3/12/2016","Houston",5,0,"FC Dallas"
19,2,"3/13/2016","NYCFC",2,2,"Toronto FC"
20,2,"3/13/2016","San Jose",2,1,"Portland"
21,3,"3/18/2016","NYCFC",0,1,"Orlando"
22,3,"3/19/2016","Chicago",0,0,"Columbus"
23,3,"3/19/2016","FC Dallas",2,0,"Montreal"
24,3,"3/19/2016","LA Galaxy",3,1,"San Jose"
25,3,"3/19/2016","NY Red Bulls",4,3,"Houston"
26,3,"3/19/2016","Seattle",1,2,"Vancouver"
27,3,"3/19/2016","Portland",2,2,"Real Salt Lake"
28,3,"3/20/2016","Philadelphia",3,0,"New England"
29,3,"3/20/2016","Sporting KC",1,0,"Toronto FC"
30,3,"3/20/2016","DC United",1,1,"Colorado"
31,4,"3/26/2016","NYCFC",1,1,"New England"
32,4,"3/26/2016","Vancouver",1,0,"Houston"
33,4,"3/26/2016","DC United",0,3,"FC Dallas"
34,5,"4/1/2016","New England",1,0,"NY Red Bulls"
35,5,"4/2/2016","Chicago",1,0,"Philadelphia"
36,5,"4/2/2016","Sporting KC",1,2,"Real Salt Lake"
37,5,"4/2/2016","Seattle",1,0,"Montreal"
38,5,"4/2/2016","San Jose",1,1,"DC United"
39,5,"4/2/2016","Colorado",1,0,"Toronto FC"
40,5,"4/2/2016","FC Dallas",1,1,"Columbus"
41,5,"4/2/2016","Vancouver",0,0,"LA Galaxy"
42,5,"4/3/2016","Orlando",4,1,"Portland"
43,6,"4/8/2016","Philadelphia",2,1,"Orlando"
44,6,"4/9/2016","Montreal",2,0,"Columbus"
45,6,"4/9/2016","DC United",4,0,"Vancouver"
46,6,"4/9/2016","FC Dallas",2,2,"San Jose"
47,6,"4/9/2016","New England",1,1,"Toronto FC"
48,6,"4/9/2016","NY Red Bulls",0,2,"Sporting KC"
49,6,"4/9/2016","Real Salt Lake",1,0,"Colorado"
50,6,"4/10/2016","Houston",1,1,"Seattle"
51,6,"4/10/2016","LA Galaxy",1,1,"Portland"
52,6,"4/10/2016","NYCFC",0,0,"Chicago"
53,7,"4/13/2016","Sporting KC",1,2,"Colorado"
54,7,"4/13/2016","San Jose",1,0,"NY Red Bulls"
