C-id,Country,All Players,Registered players,Unregistered Players,Clubs,Officials
1,Albania,"164,730","53,730","111,000",456,"6,200"
2,Algeria,"1,790,200","203,900","1,586,300","2,090","24,500"
3,Andorra,"5,037","3,037","2,000",27,168
4,Angola,"664,690","16,440","648,250",103,"2,059"
5,Antigua and Barbuda,"6,600","2,200","4,400",21,133
6,Argentina,"2,658,811","331,811","2,327,000","3,377","37,161"
7,Armenia,"151,353","41,453","109,900",83,"4,944"
8,Aruba,"10,700","5,900","4,800",62,126
9,Australia,"970,728","435,728","535,000","3,868","67,632"
10,Austria,"967,281","596,281","371,000","2,311","392,802"
11,Azerbaijan,"306,370","19,670","286,700",83,"13,000"
12,Bahamas,"17,944","2,544","15,400",41,266
13,Bahrain,"18,278","4,078","14,200",52,710
14,Bangladesh,"6,280,300","271,300","6,009,000","4,100","75,604"
15,Barbados,"37,550","15,840","21,710",134,"1,326"
16,Belarus,"373,810","25,810","348,000",160,"1,475"
17,Belgium,"816,583","443,383","373,200","2,058","79,645"
18,Belize,"17,800","3,150","14,650",42,670
19,Benin,"320,600","7,800","312,800",110,"1,700"
20,Bermuda,"7,155","3,855","3,300",58,255
21,Bolivia,"578,800","57,200","521,600",897,"3,300"
22,Bosnia-Herzegovina,"200,240","69,040","131,200",773,"11,820"
23,Botswana,"98,632","14,452","84,180",63,"2,578"
24,Brazil,"13,197,733","2,141,733","11,056,000","29,208","61,000"
25,Brunei Darussalam,"7,500","1,400","6,100",20,133
26,Bulgaria,"327,033","50,633","276,400",579,"2,571"
27,Burkina Faso,"605,100","23,200","581,900",100,"3,100"
28,Burundi,"352,334","11,934","340,400",165,"9,632"
29,Cambodia,"229,511","5,511","224,000",65,230
30,Cameroon,"785,515","22,045","763,470",223,"7,776"
31,Canada,"2,695,712","865,712","1,830,000","10,000","189,624"
32,Cape Verde Islands,"35,100","11,500","23,600",82,756
33,Cayman Islands,"3,700","1,300","2,400",10,300
34,Central African Republic,"192,404","8,404","184,000",140,"3,610"
35,Chad,"429,750","5,750","424,000",50,"2,282"
36,Chile,"2,608,337","478,337","2,130,000","5,762","26,374"
37,China PR,"26,166,335","711,235","25,455,100","2,221","129,057"
38,Colombia,"3,043,229","291,229","2,752,000","2,773","15,800"
40,Congo,"200,210","9,060","191,150",90,"1,099"
