cid,year,country,fps,gdpgrowthannual,gdppercapitacurrentus,strdum,tradeofgdp,inflation,healthexpenditurepercapitacurren,lifeexpect
1,1,Albania,15,9.6,381.4282,0,77.71507,85.00475,,71.919
1,2,Albania,15,8.3,625.8638,0,50.30201,22.56505,,72.02266
1,3,Albania,15,13.3,773.6711,0,46.98742,7.793219,27.97621,72.21919
1,4,Albania,21,9.1,970.1606,0,47.5473,12.72548,43.13866,72.52151
1,5,Albania,21,-10.2,711.4874,0,47.21093,33.18027,36.19486,72.91507
1,6,Albania,24,12.7,886.8906,0,45.13491,20.64286,47.15437,73.37585
1,7,Albania,29,10.1,1118.75,0,49.31591,0.3894376,65.08471,73.88293
1,8,Albania,428,7.3,1201.82,1,56.62534,0.0500181,75.34209,74.40437
1,9,Albania,480,7,1332.848,1,59.23018,3.107588,80.07032,74.90237
1,10,Albania,448,2.9,1446.348,1,67.13591,7.770526,90.40759,75.34953
1,11,Albania,428,5.7,1831.166,1,66.49364,0.4840026,113.7363,75.725
1,12,Albania,479,5.9,2408.914,1,64.84862,2.280019,162.2696,76.02129
1,13,Albania,515,5.5,2692.902,1,68.59919,2.366582,179.4162,76.2389
1,14,Albania,517,5,2925.461,1,74.24167,2.370728,201.7423,76.39475
1,15,Albania,375,5.9,3417.336,1,82.72255,2.932683,234.9929,76.51822
1,16,Albania,407,7.7,4125.82,1,85.63053,3.359242,280.5218,76.63371
1,17,Albania,424,3.3,3817.384,1,83.02747,2.280502,264.6041,76.75366
1,18,Albania,336,3.5,3719.083,1
2,1,Algeria,42,-2.100001,1839.904,0,44.92281,20.54033,,67.976
2,2,Algeria,39,-0.8999966,1534.398,0,48.58444,29.04766,,68.21788
2,3,Algeria,32,3.799995,1477.574,0,55.19101,29.77963,62.11367,68.46588
2,4,Algeria,38,4.099998,1632.187,0,53.70515,18.67908,61.82793,68.73449
2,5,Algeria,43,1.1,1649.042,0,52.24391,5.733523,66.95567,69.02566
2,6,Algeria,44,5.100004,1625.418,0,45.09445,4.950161,66.04398,69.33836
2,7,Algeria,39,3.200001,1617.494,0,50.49279,2.645511,62.57856,69.67305
2,8,Algeria,422,2.200001,1796.039,1,62.52959,0.3391632,62.66455,70.02417
2,9,Algeria,471,2.599995,1782.661,1,57.84963,4.225988,67.87519,70.38112
2,10,Algeria,510,4.700005,1816.159,1,60.47612,1.418302,65.94518,70.7299
2,11,Algeria,505,6.900002,2133.219,1,62.14075,2.580312,77.35498,71.059
2,12,Algeria,541,5.199997,2626.633,1,65.72401,3.565816,98.02477,71.3649
2,13,Algeria,536,5.099999,3114.916,1,71.91625,1.639822,111.2355,71.64615
2,14,Algeria,522,2,3513.167,1,70.12453,2.531136,149.647,71.9053
2,15,Algeria,413,3,4010.954,1,69.90255,3.521225,173.0334,72.1509
2,16,Algeria,414,2.4,4974.461,1,69.18229,4.443939,271.7003,72.38905
2,17,Algeria,501,2.1,4028.504,1,76.52058,5.742399,267.9465,72.62276
2,18,Algeria,823,3.006375,4500.675,1
3,1,Andorra,,-1.031492,,0
3,2,Andorra,,2.383195,,0
3,3,Andorra,,2.757494,,0,,,219.0709
3,4,Andorra,,4.649742,,0,,,1483.284
3,5,Andorra,0,9.067674,,0,,,1428.971
3,6,Andorra,1,3.194788,,0,,,1821.999
3,7,Andorra,7,4.099081,,0,,,1390.03
3,8,Andorra,180,1.165787,,1,,,1289.154
3,9,Andorra,243,11.77027,,1,,,1254.251
3,10,Andorra,274,5.874302,,1,,,1447.395
3,11,Andorra,303,6.754385,27501.41,1,,,1832.723
3,12,Andorra,294,6.48481,31129.03,1,,,2126.388
3,13,Andorra,336,5.917863,32681.69,1,,,2311.784
3,14,Andorra,356,6.789935,35344.16,1,,,2562.18
3,15,Andorra,76,1.428071,39491.5,1,,,2947.588
3,16,Andorra,57,3.570737,44290.8,1,,,3330.798
3,17,Andorra,20,,,1,,,3089.636
3,18,Andorra,,,,1
4,1,Angola,13,-24.7,448.9351,0,109.0578,1379.414,,42.43812
4,2,Angola,10,3.5,333.6944,0,161.2079,948.8112,,42.56541
4,3,Angola,13,10.4,401.9046,0,,2671.792,15.03546,42.6842
4,4,Angola,26,11.2,583.9985,0,150.7069,4145.107,10.96126,42.804
4,5,Angola,35,7.9,580.6445,0,135.9897,219.1767,13.08042,42.93883
4,6,Angola,44,6.804762,475.7512,0,130.0166,107.2848,8.826941,43.10071
4,7,Angola,44,3.2398,442.9016,0,178.9971,248.1959,8.581017,43.29959
4,8,Angola,517,3.012076,639.3199,1,152.4521,324.9969,15.40122,43.54546
4,9,Angola,539,3.141966,607.7115,1,151.5718,152.561,20.96575,43.84527
4,10,Angola,564,14.49055,753.8723,1,135.7321,108.8974,17.82239,44.197
4,11,Angola,485,3.308278,891.9549,1,132.6827,98.22372,23.54328,44.59364
4,12,Angola,490,11.18281,1225.575,1,123.393,43.54195,25.57646,45.03117
4,13,Angola,545,20.61324,1843.37,1,128.7226,22.96375,36.1272,45.50361
4,14,Angola,570,18.56334,2642.808,1,109.8904,13.30325,63.82887,46.00249
4,15,Angola,540,22.7,3443.636,1,119.8231,12.24868,85.75858,46.51785
