ctry,year,country,fifa,gdp,gdppc,pop
1,1993,Albania,15,2.30E+09,715.403,3.20E+06
1,1994,Albania,15,2.50E+09,786.252,3.20E+06
1,1995,Albania,15,2.80E+09,901.891,3.10E+06
1,1996,Albania,21,3.10E+09,992.791,3.10E+06
1,1997,Albania,21,2.80E+09,897.039,3.10E+06
1,1998,Albania,24,3.10E+09,1014.64,3.10E+06
1,1999,Albania,29,3.40E+09,1119.22,3.10E+06
1,2000,Albania,428,3.70E+09,1201.82,3.10E+06
1,2001,Albania,480,4.00E+09,1285.18,3.10E+06
1,2002,Albania,448,4.10E+09,1319.49,3.10E+06
1,2003,Albania,428,4.30E+09,1389.97,3.10E+06
1,2004,Albania,479,4.50E+09,1466.31,3.10E+06
1,2005,Albania,515,4.80E+09,1541.04,3.10E+06
1,2006,Albania,517,5.00E+09,1612.3,3.10E+06
1,2007,Albania,375,5.30E+09,1701.59,3.10E+06
1,2008,Albania,407,5.70E+09,1826.29,3.10E+06
1,2009,Albania,424,5.90E+09,1879.4,3.20E+06
1,2010,Albania,336,6.10E+09,1936.7,3.20E+06
1,2011,Albania,497,,,
2,1993,Algeria,42,4.60E+10,1681.85,2.70E+07
2,1994,Algeria,39,4.50E+10,1631.86,2.80E+07
2,1995,Algeria,32,4.70E+10,1661.55,2.80E+07
2,1996,Algeria,38,4.90E+10,1699.93,2.90E+07
2,1997,Algeria,43,4.90E+10,1691.81,2.90E+07
2,1998,Algeria,44,5.20E+10,1752.26,3.00E+07
2,1999,Algeria,39,5.40E+10,1782.77,3.00E+07
2,2000,Algeria,422,5.50E+10,1796.04,3.10E+07
2,2001,Algeria,471,5.60E+10,1816.05,3.10E+07
2,2002,Algeria,510,5.90E+10,1873.57,3.10E+07
2,2003,Algeria,505,6.30E+10,1973.25,3.20E+07
2,2004,Algeria,541,6.60E+10,2045.02,3.20E+07
2,2005,Algeria,536,7.00E+10,2117.37,3.30E+07
2,2006,Algeria,522,7.10E+10,2127.54,3.30E+07
2,2007,Algeria,413,7.30E+10,2158.57,3.40E+07
2,2008,Algeria,414,7.50E+10,2177.24,3.40E+07
2,2009,Algeria,501,7.60E+10,2189.71,3.50E+07
2,2010,Algeria,823,7.90E+10,2221.97,3.50E+07
2,2011,Algeria,678,,,
3,1993,Andorra,,8.70E+08,,
3,1994,Andorra,,8.90E+08,,
3,1995,Andorra,,9.10E+08,,
3,1996,Andorra,,9.60E+08,,
3,1997,Andorra,0,1.00E+09,,
3,1998,Andorra,1,1.10E+09,,
3,1999,Andorra,7,1.10E+09,,
3,2000,Andorra,180,1.10E+09,,
3,2001,Andorra,243,1.30E+09,,
3,2002,Andorra,274,1.30E+09,,
3,2003,Andorra,303,1.40E+09,20535.1,69740
3,2004,Andorra,294,1.50E+09,20442.8,74598
3,2005,Andorra,336,1.60E+09,20784.9,77712
3,2006,Andorra,356,1.70E+09,21592.2,79886
3,2007,Andorra,76,1.80E+09,21289.2,82180
3,2008,Andorra,57,1.80E+09,21620.4,83810.5
3,2009,Andorra,20,,,85168
3,2010,Andorra,,,,86547
3,2011,Andorra,,,,
4,1993,Angola,13,5.90E+09,497.92,1.20E+07
4,1994,Angola,10,6.10E+09,498.745,1.20E+07
4,1995,Angola,13,6.70E+09,534.21,1.30E+07
4,1996,Angola,26,7.50E+09,577.971,1.30E+07
4,1997,Angola,35,8.00E+09,608.015,1.30E+07
4,1998,Angola,44,8.60E+09,633.637,1.40E+07
4,1999,Angola,44,8.90E+09,637.763,1.40E+07
4,2000,Angola,517,9.10E+09,639.32,1.40E+07
4,2001,Angola,539,9.40E+09,640.354,1.50E+07
4,2002,Angola,564,1.10E+10,710.923,1.50E+07
4,2003,Angola,485,1.10E+10,711.78,1.60E+07
4,2004,Angola,490,1.20E+10,767.411,1.60E+07
4,2005,Angola,545,1.50E+10,898.745,1.70E+07
4,2006,Angola,570,1.80E+10,1036.18,1.70E+07
4,2007,Angola,540,2.20E+10,1237.68,1.80E+07
4,2008,Angola,443,2.50E+10,1372.05,1.80E+07
4,2009,Angola,492,2.50E+10,1368.75,1.80E+07
4,2010,Angola,337,2.60E+10,1363.74,1.90E+07
4,2011,Angola,368,,,
5,1993,Anguilla,,,,
5,1994,Anguilla,,,,
5,1995,Anguilla,,,,
5,1996,Anguilla,,,,
5,1997,Anguilla,,,,
5,1998,Anguilla,,,,
5,1999,Anguilla,0,,,
5,2000,Anguilla,176,,,
5,2001,Anguilla,35,,,
5,2002,Anguilla,65,,,
5,2003,Anguilla,61,,,
5,2004,Anguilla,52,,,
5,2005,Anguilla,65,,,
5,2006,Anguilla,52,,,
5,2007,Anguilla,6,,,
5,2008,Anguilla,4,,,
5,2009,Anguilla,,,,
5,2010,Anguilla,,,,
5,2011,Anguilla,299,,,
6,1993,Antigua and Barbuda,9,5.30E+08,8161.26,64671
6,1994,Antigua and Barbuda,9,5.60E+08,8454.38,66379
6,1995,Antigua and Barbuda,7,5.40E+08,7889.81,68158
6,1996,Antigua and Barbuda,9,5.70E+08,8203.69,69968
6,1997,Antigua and Barbuda,10,6.00E+08,8381.69,71828
6,1998,Antigua and Barbuda,7,6.30E+08,8531.28,73679
6,1999,Antigua and Barbuda,16,6.60E+08,8673.02,75462
6,2000,Antigua and Barbuda,,6.60E+08,8610.65,77134
6,2001,Antigua and Barbuda,244,6.80E+08,8630.57,78658
6,2002,Antigua and Barbuda,217,7.00E+08,8697.29,80024
6,2003,Antigua and Barbuda,215,7.30E+08,8999.33,81260
6,2004,Antigua and Barbuda,185,7.80E+08,9496.99,82418
6,2005,Antigua and Barbuda,263,8.20E+08,9762.53,83534
6,2006,Antigua and Barbuda,239,9.20E+08,10917.8,84612
6,2007,Antigua and Barbuda,153,1.00E+09,11765.6,85641
6,2008,Antigua and Barbuda,110,1.00E+09,11650.8,86634
6,2009,Antigua and Barbuda,242,9.00E+08,10263.3,87600
6,2010,Antigua and Barbuda,176,8.10E+08,9197.51,88550
6,2011,Antigua and Barbuda,1338,,,
7,1993,Argentina,55,2.40E+11,7186.37,3.40E+07
7,1994,Argentina,55,2.60E+11,7505.38,3.40E+07
7,1995,Argentina,56,2.50E+11,7197.17,3.50E+07
7,1996,Argentina,56,2.60E+11,7497.73,3.50E+07
7,1997,Argentina,52,2.90E+11,8003.96,3.60E+07
7,1998,Argentina,57,3.00E+11,8210.8,3.60E+07
7,1999,Argentina,66,2.90E+11,7840.71,3.70E+07
7,2000,Argentina,721,2.80E+11,7693.92,3.70E+07
7,2001,Argentina,771,2.70E+11,7279.97,3.70E+07
7,2002,Argentina,802,2.40E+11,6425.13,3.80E+07
7,2003,Argentina,751,2.60E+11,6929.11,3.80E+07
7,2004,Argentina,744,2.90E+11,7486.15,3.80E+07
7,2005,Argentina,785,3.10E+11,8097.42,3.90E+07
7,2006,Argentina,772,3.40E+11,8699.01,3.90E+07
7,2007,Argentina,1551,3.70E+11,9359.59,3.90E+07
7,2008,Argentina,1523,4.00E+11,9893.81,4.00E+07
7,2009,Argentina,1180,4.00E+11,9880.47,4.00E+07
7,2010,Argentina,1085,4.30E+11,10682.3,4.10E+07
7,2011,Argentina,515,,,
8,1993,Armenia,,1.30E+09,392.059,3.40E+06
8,1994,Armenia,,1.40E+09,423.256,3.30E+06
8,1995,Armenia,6,1.50E+09,461.92,3.20E+06
8,1996,Armenia,16,1.60E+09,496.877,3.20E+06
8,1997,Armenia,23,1.60E+09,519.502,3.10E+06
8,1998,Armenia,27,1.80E+09,562.049,3.10E+06
8,1999,Armenia,31,1.80E+09,584.082,3.10E+06
8,2000,Armenia,423,1.90E+09,621.483,3.10E+06
8,2001,Armenia,441,2.10E+09,683.453,3.10E+06
8,2002,Armenia,449,2.40E+09,774.797,3.10E+06
8,2003,Armenia,399,2.70E+09,883.449,3.10E+06
8,2004,Armenia,407,3.00E+09,975.612,3.10E+06
8,2005,Armenia,402,3.40E+09,1110.11,3.10E+06
8,2006,Armenia,431,3.90E+09,1255.19,3.10E+06
8,2007,Armenia,196,4.40E+09,1425.92,3.10E+06
8,2008,Armenia,386,4.70E+09,1522.03,3.10E+06
8,2009,Armenia,313,4.00E+09,1302.37,3.10E+06
8,2010,Armenia,321,4.10E+09,1311.59,3.10E+06
8,2011,Armenia,7,,,
9,1993,Aruba,0,1.30E+09,17699.8,72939
9,1994,Aruba,0,1.40E+09,17792.1,76915
9,1995,Aruba,0,1.50E+09,18945.9,80351
9,1996,Aruba,1,1.50E+09,18548.1,83081
9,1997,Aruba,1,1.70E+09,19483.4,85247
9,1998,Aruba,3,1.80E+09,20358.7,87038
9,1999,Aruba,4,1.80E+09,20195,88767
9,2000,Aruba,44,1.90E+09,20502.1,90657
9,2001,Aruba,100,1.90E+09,19903,92739
9,2002,Aruba,101,1.80E+09,18946.1,94911
9,2003,Aruba,87,1.80E+09,18811,97092
9,2004,Aruba,69,,,99164
9,2005,Aruba,64,,,101036
9,2006,Aruba,46,,,102698
9,2007,Aruba,0,,,104176
9,2008,Aruba,,,,105455
9,2009,Aruba,22,,,106523
9,2010,Aruba,11,,,107380
9,2011,Aruba,796,,,
10,1993,Australia,35,3.10E+11,17670.4,1.80E+07
10,1994,Australia,34,3.20E+11,18156.1,1.80E+07
10,1995,Australia,31,3.40E+11,18670.2,1.80E+07
10,1996,Australia,37,3.50E+11,19196.8,1.80E+07
10,1997,Australia,42,3.70E+11,19723.5,1.90E+07
10,1998,Australia,52,3.80E+11,20383.7,1.90E+07
10,1999,Australia,49,4.00E+11,21192,1.90E+07
10,2000,Australia,410,4.20E+11,21768,1.90E+07
10,2001,Australia,479,4.30E+11,21901.7,1.90E+07
10,2002,Australia,586,4.40E+11,22464.7,2.00E+07
10,2003,Australia,557,4.60E+11,22890.4,2.00E+07
10,2004,Australia,498,4.70E+11,23563.2,2.00E+07
10,2005,Australia,577,4.90E+11,23914.7,2.00E+07
10,2006,Australia,610,5.00E+11,24287.9,2.10E+07
10,2007,Australia,703,5.20E+11,24755.6,2.10E+07
10,2008,Australia,607,5.40E+11,25248.4,2.10E+07
10,2009,Australia,777,5.50E+11,25056.1,2.20E+07
10,2010,Australia,863,,,2.20E+07
10,2011,Australia,569,,,
11,1993,Austria,39,1.60E+11,19860.7,7.90E+06
11,1994,Austria,39,1.60E+11,20300.2,7.90E+06
11,1995,Austria,35,1.70E+11,20752,8.00E+06
11,1996,Austria,41,1.70E+11,21183,8.00E+06
11,1997,Austria,46,1.70E+11,21616.6,8.00E+06
11,1998,Austria,54,1.80E+11,22362,8.00E+06
11,1999,Austria,54,1.90E+11,23051.9,8.00E+06
11,2000,Austria,603,1.90E+11,23865.6,8.00E+06
11,2001,Austria,572,1.90E+11,23895.9,8.00E+06
11,2002,Austria,558,2.00E+11,24167.5,8.10E+06
11,2003,Austria,541,2.00E+11,24258.5,8.10E+06
11,2004,Austria,526,2.00E+11,24702.7,8.20E+06
11,2005,Austria,522,2.10E+11,25130.2,8.20E+06
11,2006,Austria,550,2.10E+11,25880.1,8.30E+06
11,2007,Austria,473,2.20E+11,26785.9,8.30E+06
11,2008,Austria,366,2.30E+11,27250.8,8.30E+06
11,2009,Austria,388,2.20E+11,26106.2,8.40E+06
11,2010,Austria,523,2.20E+11,26562.1,8.40E+06
11,2011,Austria,343,,,
12,1993,Azerbaijan,,5.30E+09,706.097,7.50E+06
12,1994,Azerbaijan,,4.30E+09,559.383,7.60E+06
12,1995,Azerbaijan,4,3.80E+09,487.726,7.70E+06
12,1996,Azerbaijan,9,3.80E+09,489.103,7.80E+06
12,1997,Azerbaijan,18,4.00E+09,512.519,7.80E+06
12,1998,Azerbaijan,21,4.40E+09,558.427,7.90E+06
12,1999,Azerbaijan,31,4.80E+09,594.492,8.00E+06
12,2000,Azerbaijan,390,5.30E+09,655.103,8.00E+06
12,2001,Azerbaijan,349,5.80E+09,714.401,8.10E+06
12,2002,Azerbaijan,390,6.40E+09,784.253,8.20E+06
12,2003,Azerbaijan,383,7.10E+09,865.508,8.20E+06
12,2004,Azerbaijan,387,7.90E+09,945.481,8.30E+06
12,2005,Azerbaijan,432,9.90E+09,1182.92,8.40E+06
12,2006,Azerbaijan,394,1.30E+10,1573.64,8.50E+06
12,2007,Azerbaijan,182,1.70E+10,1945.64,8.60E+06
12,2008,Azerbaijan,279,1.90E+10,2131.23,8.70E+06
12,2009,Azerbaijan,209,2.00E+10,2302.64,8.80E+06
12,2010,Azerbaijan,236,2.10E+10,2389.99,8.90E+06
12,2011,Azerbaijan,13,,,
13,1993,Bahamas,,4.10E+09,14970.5,270885
13,1994,Bahamas,,4.20E+09,15149,276123
13,1995,Bahamas,,4.40E+09,15524.6,281241
13,1996,Bahamas,,4.40E+09,15335.1,286213
13,1997,Bahamas,,4.70E+09,16271.1,291059
13,1998,Bahamas,,5.00E+09,16764.4,295771
13,1999,Bahamas,,5.30E+09,17680.7,300354
13,2000,Bahamas,47,5.50E+09,18136.4,304812
13,2001,Bahamas,117,5.70E+09,18347.9,309133
13,2002,Bahamas,106,5.80E+09,18591.5,313319
13,2003,Bahamas,90,5.80E+09,18113.5,317407
13,2004,Bahamas,88,5.80E+09,18046.5,321453
13,2005,Bahamas,90,6.00E+09,18428.3,325496
13,2006,Bahamas,68,5.80E+09,17676.2,329551
13,2007,Bahamas,113,5.90E+09,17705.7,333609
13,2008,Bahamas,58,5.80E+09,17265.4,337668
13,2009,Bahamas,74,5.50E+09,16139.7,341713
13,2010,Bahamas,43,5.60E+09,16095.5,345736
13,2011,Bahamas,351,,,
14,1993,Bahrain,21,6.20E+09,11427.1,544691
14,1994,Bahrain,20,6.20E+09,11056.2,561557
14,1995,Bahrain,25,6.50E+09,11169.8,577691
14,1996,Bahrain,20,6.70E+09,11329.8,592941
14,1997,Bahrain,21,6.90E+09,11401.8,607423
14,1998,Bahrain,21,7.30E+09,11678,621465
14,1999,Bahrain,24,7.60E+09,11910.3,635545
14,2000,Bahrain,223,8.00E+09,12262.4,650012
14,2001,Bahrain,266,8.30E+09,12538.2,664954
14,2002,Bahrain,400,8.80E+09,12900.6,680272
14,2003,Bahrain,410,9.40E+09,13518.9,695896
14,2004,Bahrain,537,9.90E+09,13959,711698
14,2005,Bahrain,594,1.10E+10,14719.5,727572
14,2006,Bahrain,603,1.10E+10,15368.8,743522
14,2007,Bahrain,321,1.20E+10,16299,759560
14,2008,Bahrain,340,1.30E+10,16967.8,775585
14,2009,Bahrain,407,,,791473
14,2010,Bahrain,524,,,807131
14,2011,Bahrain,84,,,
15,1993,Bangladesh,9,3.40E+10,271.946,1.20E+08
15,1994,Bangladesh,9,3.50E+10,277.446,1.30E+08
15,1995,Bangladesh,9,3.70E+10,285.417,1.30E+08
15,1996,Bangladesh,9,3.80E+10,292.838,1.30E+08
