Country Name,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
World,..,..,..,..,..,..,..,..,..,15.5,14.5,14.5,14.7,15.4,15.4,15.6,14.9,13.5,..,..
Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.3,5.3,5.2,7.3,8.3,..
Albania,..,..,..,13.4,9.4,10.2,13.6,..,..,..,16.1,17.1,17.3,..,..,..,..,..,..,..
Algeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.7,37.2,45.3,34.9,..,..
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,..,..,..,..,..,..,..,..,..,..,9.8,12.5,14.2,..,..,..,..,..,..,..
Armenia,..,..,..,..,..,..,..,..,..,..,..,14.0,14.0,14.3,14.4,16.0,17.3,16.5,16.9,..
Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,..,..,..,..,..,..,..,22.4,23.0,24.7,23.4,24.2,24.2,24.7,24.5,24.0,24.1,22.1,..,..
Austria,..,..,..,17.8,18.9,20.0,20.2,20.1,19.8,21.5,21.0,21.1,20.8,20.1,19.7,20.0,20.1,18.7,..,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.9,..,..,..
"Bahamas, The",15.4,15.4,16.7,17.3,17.0,13.3,12.7,13.2,13.6,12.6,11.5,11.9,12.0,12.8,14.4,14.5,15.5,14.5,14.4,..
Bahrain,5.4,5.3,5.2,4.8,5.0,5.1,5.7,5.0,4.2,4.6,4.0,3.8,4.9,1.4,1.4,1.3,..,..,..,..
Bangladesh,..,..,..,..,..,..,..,..,..,7.6,7.7,8.1,8.1,8.2,8.2,8.0,8.8,8.6,..,..
Barbados,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.6,33.2,..,..,..
Belarus,20.4,26.6,24.7,19.9,18.8,20.7,17.1,16.7,16.6,15.8,14.2,17.7,18.4,20.1,22.2,23.7,25.4,19.3,17.1,..
Belgium,..,..,..,25.4,25.9,26.5,27.1,27.1,27.3,26.9,25.9,25.3,25.9,26.0,25.7,25.1,25.4,23.9,24.6,..
Belize,19.9,19.5,19.9,18.8,19.5,19.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,..,..,..,..,..,..,..,..,..,15.5,15.7,15.7,16.3,15.5,16.0,..,17.2,16.1,16.2,..
