Country Code,2-alpha code,Alternative conversion factor,Balance of Payments Manual in use,Currency Unit,External debt Reporting status,Government Accounting concept,IMF data dissemination standard,Latest agricultural census,Latest household survey,Latest industrial data,Latest population census,Latest trade data,Latest water withdrawal data,Long Name,National accounts base year,National accounts reference year,PPP survey year,Short Name,SNA price valuation,Source of most recent Income and expenditure data,Special Notes,System of National Accounts,System of trade,Table Name,Vital registration complete,WB-2 code,Income Group,Lending category,Other groups,Region
ABW,AW,,"IMF Balance of Payments Manual, 5th edition (1993).",Aruban florin,,,,,,,2010,2010,,Aruba,1995,,,Aruba,,,,,Special trade system,Aruba,Yes,AW,High income: nonOECD,,,Latin America & Caribbean
ADO,AD,,,Euro,,,,,,,1989,2006,,Principality of Andorra,1990,,,Andorra,,,,,Special trade system,Andorra,Yes,AD,High income: nonOECD,,,Europe & Central Asia
AFG,AF,,,Afghan afghani,Actual,Consolidated central government,General Data Dissemination System (GDDS),,"Multiple Indicator Cluster Survey (MICS), 2003; Special Survey, 2010",2010,1979,2010,2000,Islamic State of Afghanistan,2002/03,,,Afghanistan,Value added at basic prices (VAB),"Integrated household survey (IHS), 2008",Fiscal year end: March 20; reporting period for national accounts data: FY.,,General trade system,Afghanistan,,AF,Low income,IDA,HIPC,South Asia
AGO,AO,1991-96,"IMF Balance of Payments Manual, 5th edition (1993).",Angolan kwanza,Actual,,General Data Dissemination System (GDDS),1964-65,"Multiple Indicator Cluster Survey (MICS), 2001; Malaria Indicator Survey (MIS), 2006/07",2010,1970,1991,2000,People's Republic of Angola,1997,,2005,Angola,Value added at producer prices (VAP),"Integrated household survey (IHS), 2000",,,Special trade system,Angola,,AO,Lower middle income,IDA,,Sub-Saharan Africa
ALB,AL, ,"IMF Balance of Payments Manual, 5th edition (1993).",Albanian lek,Actual,Consolidated central government,General Data Dissemination System (GDDS),1998,"Demographic and Health Survey (DHS), 2008/09",2010,2001,2010,2000,Republic of Albania,Original chained constant price data are rescaled.,1996,2005,Albania,Value added at basic prices (VAB),"Living Standards Measurement Study (LSMS), 2008",,Country uses the 1993 System of National Accounts methodology.,General trade system,Albania,Yes,AL,Upper middle income,IBRD,,Europe & Central Asia
ARB,,,,,,,,,,,,,,Arab World,,,,Arab World,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,,,Arab World,,1A,,,,
ARE,AE,,"IMF Balance of Payments Manual, 5th edition (1993).",U.A.E. dirham,,Budgetary central government,General Data Dissemination System (GDDS),2012,,2010,2010,2009,2005,United Arab Emirates,2007,,,United Arab Emirates,Value added at producer prices (VAP),,The National Bureau of Statistics has revised national accounts data for 2001 onward; the new base year is 2007.,,General trade system,United Arab Emirates,,AE,High income: nonOECD,,,Middle East & North Africa
ARG,AR,1971-84,"IMF Balance of Payments Manual, 5th edition (1993).",Argentine peso,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),2007,,2010,2010,2010,2000,Argentine Republic,1993,,2005,Argentina,Value added at basic prices (VAB),"Integrated household survey (IHS), 2010",,Country uses the 1993 System of National Accounts methodology.,Special trade system,Argentina,Yes,AR,Upper middle income,IBRD,,Latin America & Caribbean
ARM,AM,1990-95,"IMF Balance of Payments Manual, 5th edition (1993).",Armenian dram,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),,"Demographic and Health Survey (DHS), 2005",2010,2001,2010,2006,Republic of Armenia,Original chained constant price data are rescaled.,1996,2005,Armenia,Value added at basic prices (VAB),"Integrated household survey (IHS), 2010",,Country uses the 1993 System of National Accounts methodology.,Special trade system,Armenia,Yes,AM,Lower middle income,Blend,,Europe & Central Asia
ASM,AS,,,U.S. dollar,,,,2007,,,2010,2009,,American Samoa,,,,American Samoa,,,,,Special trade system,American Samoa,Yes,AS,Upper middle income,,,East Asia & Pacific
