country,year,yearcode,urbpop,urbpopgr,gdpgr,gdppcgr,gnigr,gnipcgr,tradegdp,realir,infl,inflgdpdef,birthrate,unemp,gini,gdp_pppcidmil,gdppc_pppcid,or_percentgdp,gniatlas_curmil,popmil,popgr,landarea,lfb,health_pccur
Afghanistan,1993,YR1993,19.2,4.909809008,,,,,,,,,52.781,,,,,,,21025450.09,3.39120693,652230,43.24209756,
Afghanistan,1994,YR1994,19.5,4.885391965,,,,,,,,,52.851,,,,,,,21738466.61,3.39120693,652230,43.54265854,
Afghanistan,1995,YR1995,19.8,4.861720524,,,,,,,,,52.844,,,,,,,22475663,3.39120693,652230,43.84090244,0
Afghanistan,1996,YR1996,20.1,4.379186848,,,,,,,,,52.709,,,,,,,23131309.06,2.917137803,652230,44.13680488,0
Afghanistan,1997,YR1997,20.4,4.35690769,,,,,,,,,52.421,,,,,,,23806081.22,2.917137803,652230,44.42980488,0
Afghanistan,1998,YR1998,20.7,4.335279054,,,,,,,,,51.973,,,,,,,24500537.42,2.917137803,652230,44.72134146,13.88530275
Afghanistan,1999,YR1999,21,4.314272857,,,,,,,,,51.373,,,,,,,25215251.86,2.917137803,652230,45.00985366,14.61762893
Afghanistan,2000,YR2000,21.3,4.293862611,,,,,,,,,50.647,,,,,,,25950815.5,2.917137803,652230,45.29285366,11.00906433
Afghanistan,2001,YR2001,21.62,4.32760179,,,,,,,,,49.837,,,,,,,26697430.19,2.8770375,652230,45.56726829,11.11745344
Afghanistan,2002,YR2002,21.94,4.305692104,,,,,92.15693609,,,,48.998,,,14385060223.9813,523.7496855,,,27465525.27,2.8770375,652230,45.83314634,21.7721123
Afghanistan,2003,YR2003,22.26,4.284416941,14.31837584,11.12137229,14.36709387,11.16872788,132.7796425,,,3.84535717,48.176,,,16799213688.4767,594.5420765,,,28255718.73,2.8770375,652230,46.09243902,25.48453401
Afghanistan,2004,YR2004,22.58,4.263749128,9.438757536,6.378216359,9.759598993,6.690085232,107.8279673,,,6.780487556,47.399,,,18905827174.6453,650.3855371,,200,29068646.36,2.8770375,652230,46.35119512,29.62007423
Afghanistan,2005,YR2005,22.9,4.243663025,14.51571611,11.31319378,14.79116664,11.58094112,96.46657747,,12.6635477,8.405297637,46.682,8.5,,22372285252.0724,748.1128079,,230,29904962.21,2.8770375,652230,46.61641463,32.51570237
Afghanistan,2006,YR2006,23.28,4.43773077,11.18704254,8.125680155,,,91.89729883,15.18943507,7.263513514,2.413906217,46.024,,,25684151782.1118,835.2118424,,270,30751661.41,2.8313,652230,46.89909756,23.82013187
Afghanistan,2007,YR2007,23.66,4.411083109,11.13201429,8.072167024,,,77.0224305,4.35191311,8.484251969,13.20827427,45.404,,,29382793188.3576,929.1785335,,300,31622333.2,2.8313,652230,47.20531707,28.80876746
Afghanistan,2008,YR2008,24.04,4.385284651,3.4,0.55304173,,,63.22433333,-3.950038208,30.56311619,19.64346248,44.803,,27.82,31043570002.2385,954.6681255,,290,32517656.32,2.8313,652230,47.53856098,31.80972721
Afghanistan,2009,YR2009,24.42,4.360295441,20.4,17.08497316,,,76.94305882,16.35294118,-8.2854628,-1.162790698,44.218,,,38057933576.9543,1138.152983,,370,33438328.72,2.8313,652230,47.89885366,33.71030774
Afghanistan,2010,YR2010,24.8,4.336077989,8.2,5.221089654,,,69.04942821,11.58062187,0.892536936,3.682877957,43.647,,,41512331095.7829,1207.280241,,410,34385000,2.8313,652230,48.28219512,37.6667862
Afghanistan,2011,YR2011,,,,,,,,,,,,,,,,,,,,,,
Albania,1993,YR1993,37.9,0.031573072,9.6,11.03017947,11.98552924,13.44683768,77.71506892,-39.68257372,85.00475124,114.8356475,22.955,,,7177791869.7044,2225.740223,4.245052789,320,3224901,-1.296467695,27400,71.487,
Albania,1994,YR1994,38.4,-0.10901949,8.3,9.84845086,9.455040923,11.02000632,50.30201216,-10.65612028,22.56505269,38.41649484,22.234,,,7931820124.2461,2494.720811,2.309099535,410,3179442,-1.419654241,27400,71.61773171,
Albania,1995,YR1995,38.9,0.08047751,13.3,14.6829293,14.97892516,16.38234726,46.98742198,13.33357162,7.793218538,5.573307438,21.435,,,9195824485.4297,2927.579074,2.034820449,670,3141102,-1.213201593,27400,71.87029268,27.97620571
Albania,1996,YR1996,39.46,0.517698217,9.100000399,10.09913248,9.807476067,10.81308717,47.54730411,-3.473136825,12.72547781,28.41848296,20.566,,,10210295361.4996,3280.313951,1.912895374,910,3112597,-0.91162678,27400,72.24107317,43.13866197
Albania,1997,YR1997,40.02,0.742083812,-10.20000033,-9.598942794,-10.35360939,-9.753580003,47.21092567,,33.18027438,13.94310118,19.651,,29.12,9345599298.7852,3022.605276,1.783663149,800,3091902,-0.667099044,27400,72.69607317,36.19486303
Albania,1998,YR1998,40.58,0.972645547,12.7,13.17088927,12.72709805,13.19810055,45.13490954,,20.64285887,13.55600815,18.721,,,10671366117.7255,3465.812888,0.815572795,890,3079037,-0.416954977,27400,73.19780488,47.15436449
Albania,1999,YR1999,41.14,1.165345411,10.1,10.32616772,9.686743861,9.912062666,49.31591306,16.40464818,0.389437654,4.476068523,17.802,,,11921366603.1137,3879.737563,0.873985135,980,3072725,-0.205209571,27400,73.72182927,65.08470904
Albania,2000,YR2000,41.7,1.323739372,7.3,7.33035419,8.488488745,8.519179147,56.62533917,17.04441268,0.050018136,4.321511128,16.92,,,13068383504.7781,4254.230506,1.436102074,1170,3071856,-0.028285086,27400,74.23873171,75.34208684
Albania,2001,YR2001,42.32,1.655465528,7,6.808000837,7.845138292,7.651622626,59.23018091,15.65450881,3.10758827,3.458280955,16.098,22.70000076,,14300188370.4500,4646.87418,1.029289879,1340,3077378,0.179599654,27400,74.72365854,80.07032134
Albania,2002,YR2002,42.94,1.856531285,2.9,2.487038292,2.239043557,1.828734421,67.1359087,11.62047244,7.770525834,3.300195872,15.346,,28.15,14953947155.6402,4839.812814,1.219249046,1390,3089778,0.402130794,27400,75.16121951,90.40758295
Albania,2003,YR2003,43.56,1.979765342,5.7,5.124224893,5.865246984,5.288571734,66.49363948,10.53103129,0.484002612,3.38348607,14.675,,,16147007732.0724,5197.477238,1.099474053,1650,3106701,0.54621478,27400,75.54202439,113.7362786
Albania,2004,YR2004,44.18,1.996131066,5.9,5.284566546,5.373182598,4.760810721,64.84861994,5.4276951,2.280019169,6.007744671,14.099,,31.09,17584239432.8748,5627.206917,1.279925868,2090,3124861,0.582841073,27400,75.85912195,162.2695784
Albania,2005,YR2005,44.8,1.934202331,5.5,4.931197244,4.945795432,4.379980667,68.59919004,9.283673745,2.366581957,3.4692522,13.632,,33.03,19170154786.7918,6101.647077,1.784094617,2580,3141800,0.540608188,27400,76.112,179.4162275
