National Team	Played	Won	Drawn	Lost	Goals For	Goals Against	Points per Match	Win Pctg	
England	902	512	217	173	2000	904	1.3758	0.687915743	1.375831486
Spain	599	341	140	118	1166	565	1.3723	0.686143573	
F.R.G.	855	494	174	187	1913	1015	1.3591	0.679532164	
Italy	723	388	193	142	1269	719	1.3402	0.670124481	
Croatia	227	120	64	43	398	224	1.3392	0.669603524	
Russia	605	320	154	131	1053	587	1.3124	0.656198347	
Netherlands	715	357	159	199	1467	945	1.221	0.61048951	
Czech Republic	713	348	160	205	1352	885	1.2006	0.600280505	
Sweden	943	463	204	276	1936	1275	1.1983	0.599151644	
G.D.R.	293	138	69	86	501	345	1.1775	0.588737201	
Hungary	866	415	183	268	1823	1301	1.1697	0.584872979	
Scotland	709	337	155	217	1246	872	1.1693	0.584626234	
France	747	353	160	234	1308	1091	1.1593	0.579651941	
Serbia	707	333	153	221	1352	993	1.1584	0.579207921	
Portugal	519	239	120	160	849	636	1.1522	0.5761079	
Romania	660	297	161	202	1100	857	1.1439	0.571969697	
Denmark	769	358	150	261	1440	1084	1.1261	0.563068921	
Ukraine	183	75	56	52	239	193	1.1257	0.56284153	
Poland	747	321	180	246	1269	1042	1.1004	0.550200803	
Rep. of Ireland	477	189	128	160	666	599	1.0608	0.530398323	
Austria	708	287	154	267	1275	1152	1.0282	0.514124294	
Bulgaria	698	264	174	260	1036	1033	1.0057	0.50286533	
Belgium	692	273	149	270	1163	1179	1.0043	0.50216763	
Slovakia	212	79	51	82	302	291	0.9858	0.492924528	
Israel	444	165	105	174	679	642	0.9797	0.489864865	
Bosnia Herzeg.	147	55	34	58	203	211	0.9796	0.489795918	
Montenegro	40	14	11	15	44	49	0.975	0.4875	
Greece	519	190	122	207	656	769	0.9672	0.483622351	
Slovenia	177	62	46	69	220	224	0.9605	0.480225989	
Turkey	488	175	116	197	629	730	0.9549	0.477459016	
Norway	764	268	180	316	1137	1296	0.9372	0.468586387	
Switzerland	720	232	159	329	1020	1284	0.8653	0.432638889	
Latvia	311	99	67	145	394	518	0.8521	0.426045016	
Belarus	158	46	42	70	192	226	0.8481	0.424050633	
Macedonia	165	47	45	73	193	227	0.8424	0.421212121	
Wales	592	180	127	285	752	1019	0.8226	0.411317568	
Saar	19	6	3	10	36	54	0.7895	0.394736842	
Georgia	168	49	34	85	194	251	0.7857	0.392857143	
Lithuania	273	77	51	145	305	506	0.7509	0.375457875	
North. Ireland	572	142	130	300	603	1130	0.7238	0.361888112	
Kazakhstan	135	33	31	71	144	225	0.7185	0.359259259	
Iceland	393	103	73	217	436	698	0.7099	0.354961832	
Estonia	363	86	84	193	382	669	0.7052	0.35261708	
Finland	723	171	149	403	847	1608	0.6791	0.3395574	
Moldova	159	35	36	88	137	262	0.6667	0.333333333	
Armenia	141	31	32	78	117	238	0.6667	0.333333333	
Albania	263	57	56	150	227	447	0.6464	0.323193916	
Azerbaijan	181	32	44	105	124	326	0.5967	0.298342541	
Cyprus	297	58	53	186	266	674	0.569	0.284511785	
Malta	332	40	56	236	207	775	0.4096	0.204819277	
Faroe Islands	144	18	15	111	90	374	0.3542	0.177083333	
Luxembourg	532	50	66	416	462	1554	0.312	0.156015038	
Liechtenstein	128	8	15	105	54	384	0.2422	0.12109375	
Andorra	103	3	9	91	32	290	0.1456	0.072815534	
San Marino	114	1	4	109	17	479	0.0526	0.026315789	
